"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 21 11:25:35 GMT 2023","Thu Sep 21 11:25:36 GMT 2023","717","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short password",""
"passed","Thu Sep 21 11:25:36 GMT 2023","Thu Sep 21 11:25:38 GMT 2023","1725","chromiumWithLogin","payment.spec.ts","Payment tests","","","simple payment",""
"passed","Thu Sep 21 11:25:30 GMT 2023","Thu Sep 21 11:25:30 GMT 2023","440","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","create reservation with random name",""
"passed","Thu Sep 21 11:25:38 GMT 2023","Thu Sep 21 11:25:39 GMT 2023","1508","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","basic transfer",""
"passed","Thu Sep 21 11:25:31 GMT 2023","Thu Sep 21 11:25:31 GMT 2023","366","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","get single reseration",""
"passed","Thu Sep 21 11:25:30 GMT 2023","Thu Sep 21 11:25:31 GMT 2023","528","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","delete all reservations",""
"passed","Thu Sep 21 11:25:33 GMT 2023","Thu Sep 21 11:25:35 GMT 2023","2061","chromiumWithLogin","login.spec.ts","User login to demo bank","","","succesfull login",""
"passed","Thu Sep 21 11:25:27 GMT 2023","Thu Sep 21 11:25:29 GMT 2023","1768","setup","../global-setup.ts","","","","login",""
"passed","Thu Sep 21 11:25:31 GMT 2023","Thu Sep 21 11:25:33 GMT 2023","1739","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","request intercaption practicesoftwaretesting.com",""
"passed","Thu Sep 21 11:25:39 GMT 2023","Thu Sep 21 11:25:41 GMT 2023","1421","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","balance test",""
"passed","Thu Sep 21 11:25:35 GMT 2023","Thu Sep 21 11:25:35 GMT 2023","637","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short username",""
